full_address,n,newest_created,oldest_created,newest_close,row_n,cum_houses,cumsum_wo,cumpct_wo
2114 E HOFFMAN ST,1,2017-09-11T14:37:00Z,2017-09-11T14:37:00Z,2017-09-12T00:00:00Z,9232,0.7147170395602694,25534,0.8738834320134159
2114 E MADISON ST,1,2018-04-19T13:04:00Z,2018-04-19T13:04:00Z,2018-04-19T00:00:00Z,9233,0.7147944569172409,25535,0.8739176563195181
2114 W SARATOGA ST,1,2017-08-31T09:49:00Z,2017-08-31T09:49:00Z,2017-09-06T00:00:00Z,9234,0.7148718742742123,25536,0.8739518806256203
2115  HOMEWOOD AVE,1,2019-01-22T10:44:00Z,2019-01-22T10:44:00Z,2019-01-24T00:00:00Z,9235,0.7149492916311837,25537,0.8739861049317225
2115  PARKSLEY AVE,1,2017-02-12T22:00:00Z,2017-02-12T22:00:00Z,2017-02-23T00:00:00Z,9236,0.7150267089881551,25538,0.8740203292378247
2115 W BALTIMORE ST,1,2018-04-20T15:30:00Z,2018-04-20T15:30:00Z,2018-04-23T00:00:00Z,9237,0.7151041263451265,25539,0.8740545535439269
2115 W MULBERRY ST,1,2018-05-02T22:00:00Z,2018-05-02T22:00:00Z,2018-05-15T00:00:00Z,9238,0.715181543702098,25540,0.8740887778500291
2116  LLEWELYN AVE,1,2017-01-05T14:40:00Z,2017-01-05T14:40:00Z,2017-01-17T00:00:00Z,9239,0.7152589610590695,25541,0.8741230021561313
2117  BOOTH ST,1,2019-04-12T09:16:00Z,2019-04-12T09:16:00Z,2019-04-13T00:00:00Z,9240,0.7153363784160409,25542,0.8741572264622335
2117  CHELSEA TERR,1,2016-11-23T08:43:00Z,2016-11-23T08:43:00Z,2016-11-29T00:00:00Z,9241,0.7154137957730123,25543,0.8741914507683357
2117  RIDGEHILL AVE,1,2019-07-11T15:22:00Z,2019-07-11T15:22:00Z,NA,9242,0.7154912131299838,25544,0.8742256750744378
2117  VINE ST,1,2018-02-06T14:38:00Z,2018-02-06T14:38:00Z,2018-02-08T00:00:00Z,9243,0.7155686304869552,25545,0.87425989938054
2117  WESTWOOD AVE,1,2019-02-27T12:02:00Z,2019-02-27T12:02:00Z,2019-02-27T00:00:00Z,9244,0.7156460478439266,25546,0.8742941236866423
2117 W FAYETTE ST,1,2016-12-15T15:32:00Z,2016-12-15T15:32:00Z,2016-12-23T00:00:00Z,9245,0.715723465200898,25547,0.8743283479927444
2117 W MULBERRY ST,1,2018-07-26T22:00:00Z,2018-07-26T22:00:00Z,2018-07-31T00:00:00Z,9246,0.7158008825578694,25548,0.8743625722988466
2118  BOYD ST,1,2018-08-03T19:08:00Z,2018-08-03T19:08:00Z,2018-08-03T00:00:00Z,9247,0.7158782999148409,25549,0.8743967966049488
2118  CHELSEA TERR,1,2019-04-05T14:32:00Z,2019-04-05T14:32:00Z,2019-04-11T00:00:00Z,9248,0.7159557172718123,25550,0.8744310209110511
2118  RIDGEHILL AVE,1,2016-12-15T22:00:00Z,2016-12-15T22:00:00Z,2016-12-23T00:00:00Z,9249,0.7160331346287838,25551,0.8744652452171532
2119  BOOTH ST,1,2017-02-16T08:45:00Z,2017-02-16T08:45:00Z,2017-02-25T00:00:00Z,9250,0.7161105519857552,25552,0.8744994695232554
2119  HOMEWOOD AVE,1,2016-02-23T13:53:00Z,2016-02-23T13:53:00Z,2016-02-25T00:00:00Z,9251,0.7161879693427267,25553,0.8745336938293576
2119  RIDGEHILL AVE,1,2016-11-09T15:45:00Z,2016-11-09T15:45:00Z,2016-11-14T00:00:00Z,9252,0.7162653866996981,25554,0.8745679181354598
2119  SIDNEY AVE,1,2017-11-16T14:14:00Z,2017-11-16T14:14:00Z,2017-11-20T00:00:00Z,9253,0.7163428040566695,25555,0.874602142441562
2119  WALBROOK AVE,1,2016-07-11T22:00:00Z,2016-07-11T22:00:00Z,2016-07-13T00:00:00Z,9254,0.7164202214136409,25556,0.8746363667476642
2119 W FAIRMOUNT AVE,1,2017-12-18T15:33:00Z,2017-12-18T15:33:00Z,2018-01-12T00:00:00Z,9255,0.7164976387706123,25557,0.8746705910537664
212  FURROW ST,1,2016-06-20T22:00:00Z,2016-06-20T22:00:00Z,2016-06-21T00:00:00Z,9256,0.7165750561275838,25558,0.8747048153598685
212  HARMISON ST,1,2018-12-17T22:00:00Z,2018-12-17T22:00:00Z,2018-12-19T00:00:00Z,9257,0.7166524734845552,25559,0.8747390396659708
212 N MOUNT ST,1,2017-01-10T10:39:00Z,2017-01-10T10:39:00Z,2017-01-20T00:00:00Z,9258,0.7167298908415267,25560,0.874773263972073
2120  PRESBURY ST,1,2019-06-22T22:00:00Z,2019-06-22T22:00:00Z,2019-06-28T00:00:00Z,9259,0.7168073081984981,25561,0.8748074882781751
2120  VINE ST,1,2018-03-29T22:00:00Z,2018-03-29T22:00:00Z,2018-04-26T00:00:00Z,9260,0.7168847255554696,25562,0.8748417125842773
2120 E FAIRMOUNT AVE,1,2016-04-21T15:29:00Z,2016-04-21T15:29:00Z,2016-04-25T00:00:00Z,9261,0.716962142912441,25563,0.8748759368903796
2120 W FAIRMOUNT AVE,1,2016-01-06T09:57:00Z,2016-01-06T09:57:00Z,2016-01-08T00:00:00Z,9262,0.7170395602694124,25564,0.8749101611964818
2121  BRUNT ST,1,2016-01-17T22:00:00Z,2016-01-17T22:00:00Z,2016-01-20T00:00:00Z,9263,0.7171169776263838,25565,0.8749443855025839
2121  CLIFTON AVE,1,2018-04-23T19:30:00Z,2018-04-23T19:30:00Z,2018-04-24T00:00:00Z,9264,0.7171943949833552,25566,0.8749786098086861
2121  MCCULLOH ST,1,2018-04-26T15:23:00Z,2018-04-26T15:23:00Z,2018-05-02T00:00:00Z,9265,0.7172718123403267,25567,0.8750128341147884
2121  SAINT PAUL ST,1,2016-05-17T22:00:00Z,2016-05-17T22:00:00Z,2016-05-18T00:00:00Z,9266,0.7173492296972981,25568,0.8750470584208905
2121  WHISTLER AVE,1,2016-07-25T22:00:00Z,2016-07-25T22:00:00Z,2016-07-27T00:00:00Z,9267,0.7174266470542696,25569,0.8750812827269927
2121 E FEDERAL ST,1,2016-03-23T13:00:00Z,2016-03-23T13:00:00Z,2016-03-24T00:00:00Z,9268,0.717504064411241,25570,0.8751155070330949
2121 W MULBERRY ST,1,2016-04-12T16:22:00Z,2016-04-12T16:22:00Z,2016-04-13T00:00:00Z,9269,0.7175814817682125,25571,0.875149731339197
2122  BOLTON ST,1,2017-01-19T15:49:00Z,2017-01-19T15:49:00Z,2017-01-20T00:00:00Z,9270,0.7176588991251839,25572,0.8751839556452993
2122  DRUID HILL AVE,1,2016-01-04T16:03:00Z,2016-01-04T16:03:00Z,2016-01-05T00:00:00Z,9271,0.7177363164821553,25573,0.8752181799514015
2122  MCCULLOH ST,1,2019-01-02T22:11:00Z,2019-01-02T22:11:00Z,2019-01-16T00:00:00Z,9272,0.7178137338391267,25574,0.8752524042575037
2122  SIDNEY AVE,1,2019-06-17T22:18:00Z,2019-06-17T22:18:00Z,2019-07-03T00:00:00Z,9273,0.7178911511960981,25575,0.8752866285636058
2122 E BIDDLE ST,1,2018-10-04T22:00:00Z,2018-10-04T22:00:00Z,2018-10-09T00:00:00Z,9274,0.7179685685530696,25576,0.8753208528697081
2122 N FULTON AVE,1,2018-04-14T22:00:00Z,2018-04-14T22:00:00Z,2018-04-16T00:00:00Z,9275,0.718045985910041,25577,0.8753550771758103
2122 W BALTIMORE ST,1,2018-01-29T14:27:00Z,2018-01-29T14:27:00Z,2018-01-30T00:00:00Z,9276,0.7181234032670125,25578,0.8753893014819124
2123 W FAIRMOUNT AVE,1,2016-01-07T14:02:00Z,2016-01-07T14:02:00Z,2016-01-08T00:00:00Z,9277,0.7182008206239839,25579,0.8754235257880146
2124  GREENMOUNT AVE,1,2017-10-12T09:18:00Z,2017-10-12T09:18:00Z,2017-10-14T00:00:00Z,9278,0.7182782379809554,25580,0.8754577500941169
2125  CHRISTIAN ST,1,2017-09-06T09:05:00Z,2017-09-06T09:05:00Z,2017-09-07T00:00:00Z,9279,0.7183556553379268,25581,0.8754919744002191
